iter	RMSE
0	19.18212087
1	19.10987727
2	18.99528263
3	18.83313979
4	18.72898399
5	18.61056734
6	18.50112213
7	18.4120846
8	18.36876144
9	18.28304406
10	18.21551406
11	18.0983115
12	17.98256888
13	17.88735118
14	17.76360585
15	17.66563425
16	17.57147916
17	17.47747522
18	17.36809514
19	17.25809387
20	17.19825838
21	17.10217994
22	16.97448915
23	16.90187494
24	16.80425649
25	16.68432247
26	16.57642122
27	16.46281418
28	16.35812535
29	16.24099946
30	16.20678166
31	16.09851289
32	16.02564536
33	15.93374616
34	15.90153605
35	15.79132558
36	15.69871526
37	15.58484878
38	15.51004441
39	15.40882322
40	15.32469545
41	15.22975459
42	15.13174915
43	15.03760223
44	14.93506593
45	14.90316692
46	14.8208699
47	14.73697749
48	14.66470098
49	14.56707711
50	14.47835681
51	14.40209055
52	14.38328552
53	14.30017155
54	14.21964062
55	14.149488
56	14.07361296
57	13.9916164
58	13.93805938
59	13.88460059
60	13.79868577
61	13.71623833
62	13.63440314
63	13.55670674
64	13.47643404
65	13.41503671
66	13.33904831
67	13.29030083
68	13.19690273
69	13.13187352
70	13.04946803
71	12.9772427
72	12.89176781
73	12.81714174
74	12.74340027
75	12.67308059
76	12.59642396
77	12.52898
78	12.46250589
79	12.40107417
80	12.3292753
81	12.27334583
82	12.21207703
83	12.13988663
84	12.07068166
85	12.01394291
86	11.95726186
87	11.89867517
88	11.83254525
89	11.78043002
90	11.72322644
91	11.65960887
92	11.58889293
93	11.52191946
94	11.45470092
95	11.40073285
96	11.3193573
97	11.26866414
98	11.19893398
99	11.13675572
100	11.07785204
101	11.02679286
102	10.9720042
103	10.91134252
104	10.85692787
105	10.80119021
106	10.75727696
107	10.72315505
108	10.66718921
109	10.59929461
110	10.55079083
111	10.49162302
112	10.42092628
113	10.36329962
114	10.30431817
115	10.2553449
116	10.20000332
117	10.15715033
118	10.10080946
119	10.03581698
120	9.98988689
121	9.93394981
122	9.877148747
123	9.826860343
124	9.778810949
125	9.726328945
126	9.671832397
127	9.64780722
128	9.58495412
129	9.551333971
130	9.512948363
131	9.453025661
132	9.399266106
133	9.347603173
134	9.28774228
135	9.246659005
136	9.215825867
137	9.155327889
138	9.107983569
139	9.064183878
140	9.006960505
141	8.950979368
142	8.895353868
143	8.848047621
144	8.805337318
145	8.764799247
146	8.71467022
147	8.664599719
148	8.627067258
149	8.577721693
150	8.539839916
151	8.50608299
152	8.446641953
153	8.399641521
154	8.362934875
155	8.311647277
156	8.270182808
157	8.226314545
158	8.198364394
159	8.142401282
160	8.098692445
161	8.059614009
162	8.011836394
163	7.979993058
164	7.94355642
165	7.905334954
166	7.869666048
167	7.814509595
168	7.77601734
169	7.741961888
170	7.70141343
171	7.662102605
172	7.621648014
173	7.573963795
174	7.537363971
175	7.490452523
176	7.447302262
177	7.403219252
178	7.357888869
179	7.316557969
180	7.272955323
181	7.234530759
182	7.195761403
183	7.159371522
184	7.115242139
185	7.070162098
186	7.025912028
187	6.997922507
188	6.949206093
189	6.908013551
190	6.875323493
191	6.82510614
192	6.77974664
193	6.747800279
194	6.712190779
195	6.668550276
196	6.619814574
197	6.578175739
198	6.546638402
199	6.503639347
200	6.463715309
201	6.421251271
202	6.385820463
203	6.353368758
204	6.31413181
205	6.271942169
206	6.231528669
207	6.190350615
208	6.150264073
209	6.113481492
210	6.08469106
211	6.042766324
212	6.004360362
213	5.971674559
214	5.927650891
215	5.883095987
216	5.849808471
217	5.812296208
218	5.77519409
219	5.736106067
220	5.707823197
221	5.670171192
222	5.632464409
223	5.602546187
224	5.567334252
225	5.532510862
226	5.498391963
227	5.464483816
228	5.431976502
229	5.408547929
230	5.37747286
231	5.34868546
232	5.313772041
233	5.277507192
234	5.241534062
235	5.211930097
236	5.178190463
237	5.146468265
238	5.114135571
239	5.079746429
240	5.047302579
241	5.016297143
242	4.98569043
243	4.960151353
244	4.926782942
245	4.8983436
246	4.865551721
247	4.837602145
248	4.808612335
249	4.779949181
250	4.751609682
251	4.723590854
252	4.698698951
253	4.668610907
254	4.645771865
255	4.618897704
256	4.591925598
257	4.565261031
258	4.535571709
259	4.505964117
260	4.480088021
